名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数,简介
红辣椒 パプリカ,2006,今敏,"林原惠美,江守彻,堀胜之祐,古谷彻,大塚明夫,山寺宏一,田中秀幸,兴梠里美,岩田光央,爱河里花子,川濑晶子,太田真一郎,福松进纱,胜杏里,宫下荣治,三户耕三,今敏,筒井康隆","科幻,动画,悬疑,惊悚",日本,日语,9.0,258163,58.7%,32.7%,7.7%,0.7%,0.2%,59005,近未来，为了治疗现代人类越来越多、越来越严重的精神疾病，位于东京的精神医疗综合研究所开发出一种可以反映他人梦境的机器。通过微型DC的帮助，梦境在显示器上呈现出来，更方便找到一个人焦虑的症结。
黑水 Dark Waters,2019,托德·海因斯,"马克·鲁弗洛,安妮·海瑟薇,蒂姆·罗宾斯,比尔·坎普,维克多·加博,比尔·普尔曼,梅尔·温宁汉姆,威廉·杰克森·哈珀,路易莎·克劳瑟,凯文·克劳利,丹尼尔·R·希尔,王明,西尼·迈尔斯,马克·霍克尔,考特尼·德科斯基,斯嘉丽·希克斯,布莱恩·加拉格尔,约翰·纽伯格,莱曼·陈,丹妮丝·达·维拉,杰弗里·格罗弗,泰里·克拉克,杰夫·福尔克,温·赖克特,乔恩·奥斯贝克,理查德·杜恩,迈克尔·海尼,大卫·皮廷格",剧情,美国,英语,8.5,34286,38.8%,49.7%,10.9%,0.5%,0.1%,10481,基于Nathaniel Rich在《纽约时报》上发表的文章《The Lawyer Who Became DuPont’s Worst Nightmare》，围绕罗伯特·比洛特展开，他担任辩护律师长达8年之久，他对化工巨头杜邦公司提起了环境诉讼，这场官司揭露了几十年来杜邦公司化学污染的历史。
我是山姆 I Am Sam,2001,杰茜·尼尔森,"西恩·潘,达科塔·范宁,米歇尔·菲佛,黛安·韦斯特,洛雷塔·迪瓦恩,理查德·希夫,劳拉·邓恩","剧情,家庭",美国,英语,8.9,197977,55.1%,36.7%,7.7%,0.4%,0.1%,40718,在星巴克工作的山姆（西恩•潘 Sean Penn 饰），虽已成人，但智力水平只有7岁。一次偶然，他收留了一个流浪女。该女子帮山姆生下了一个女儿后消失得无影无踪。
闪灵 The Shining,1980,斯坦利·库布里克,"杰克·尼科尔森,谢莉·杜瓦尔,丹尼·劳埃德,斯加特曼·克罗索斯,巴瑞·尼尔森,菲利普·斯通,乔·托克尔,安妮·杰克逊,托尼·伯顿","剧情,悬疑,恐怖","英国,美国",英语,8.2,293528,34.5%,44.4%,17.9%,2.4%,0.8%,62998,杰克（杰克•尼科尔森 Jack Nicholson 饰）是一个作家。一个冬天，他得到了一个看管山顶酒店的差事。这正合杰克的意思，他正好可以有一个幽静的地方写作。于是杰克带着妻儿搬进了酒店。
赌神 賭神,1989,王晶,"周润发,刘德华,王祖贤,张敏,向华强,龙方,吴孟达,成奎安","剧情,喜剧",中国香港,"粤语,日语,英语",8.3,145476,31.9%,50.8%,16.4%,0.8%,0.1%,14734,高进（周润发 饰）前来香港与赌魔决斗，怎料刚抵港，便被南哥（杨泽霖 饰）追杀，结果堕入陷阱而失忆。幸得刀仔（刘德华 饰）和其女友珍（王祖贤 饰）相救，他们把高进带回家中疗养，发现高进精通赌术后，兴奋不已，想利用他来挣大钱，却反而因为高进发挥不稳亏了钱。
我是传奇 I Am Legend,2007,弗朗西斯·劳伦斯,"威尔·史密斯,艾莉丝·布拉加,Charlie Tahan,达什·米霍克,莎莉·理查德森","剧情,科幻,惊悚",美国,英语,8.1,306595,28.3%,49.3%,20.4%,1.7%,0.3%,39549,2012年，人类被不知名病毒感染，纽约成为一座空城。Robert Neville（Will Smith 饰）是为军方服务的科学家，也是对病毒有免疫力的幸存者。白天，他带着狗Sam在街道上寻找食物，用广播寻找幸存者，在实验室里研究治愈病毒的方法；晚上，他只能躲在屋子里，因为那些感染病毒而没有死亡的人们，成为了"夜魔"只能夜晚出来活动，丧失理智，会攻击所有的人。
血钻 Blood Diamond,2006,爱德华·兹威克,"莱昂纳多·迪卡普里奥,杰曼·翰苏,詹妮弗·康纳利,阿诺德·沃斯洛,大卫·哈雷伍德,吉米·米斯特雷,麦克·辛,史蒂芬·柯林斯","剧情,惊悚,冒险","美国,德国","英语,门德语,南非荷兰语",8.6,239096,43.3%,46.4%,9.9%,0.4%,0.1%,33768,九十年代非洲塞拉利昂，连连战火使这片土地饱受摧残，非法钻石贸易日益猖獗。
萨利机长 Sully,2016,克林特·伊斯特伍德,"汤姆·汉克斯,艾伦·艾克哈特,劳拉·琳妮,杰瑞·费拉拉,安娜·冈,奥图姆·瑞瑟,霍特·麦克卡兰尼,克里斯·鲍尔,杰米·谢尔丹,安·库萨克,莫莉·哈根,马克斯·阿德勒,萨姆·亨廷顿,韦恩·巴斯楚普,维勒莉·玛哈菲","剧情,传记",美国,英语,8.3,235305,31.3%,54.5%,13.6%,0.6%,0.1%,54471,影片根据真实事件改编，2009年1月15日，萨利（汤姆·汉克斯 Tom Hanks 饰）在全美航空1549号班担任机长，飞机起飞两分钟后遭到飞鸟攻击，两架发动机全部熄火，萨利决定在哈德逊河上迫降，155人全数生还。但之后的调查显示他做了错误的抉择，认为大可选择返回拉瓜地亚机场。机内到底发生了什么呢？
风声,2009,陈国富,"周迅,李冰冰,张涵予,王志文,黄晓明,苏有朋,英达,石兆琪,倪大红,段奕宏,朱旭,刘威葳,张一白,吴刚,邓家佳,刘芸,爱戴","剧情,惊悚,战争,犯罪",中国大陆,"汉语普通话,日语",8.2,387028,28.8%,52.7%,17.1%,1.2%,0.2%,64340,1942年10月10日，汪伪政权举行了盛大的国民政府庆典。然而，一系列的军政要员遇刺事件，让身为特务处长王田香（王志文 饰）如坐针毡。在对女刺客（刘威葳 饰）的酷刑审问中，他获得了一条关键的情报——代号为老鬼的地下党已经混入了剿匪司令部。立功心切的王田香立刻向日本皇军特务机关长武田（黄晓明 饰）做了汇报。二人随即在裘庄布下了一个圈套，意图通过放出假消息逼老鬼现身。
假如爱有天意 클래식,2003,郭在容,"孙艺珍,曹承佑,赵寅成,李己雨,金秉玉,徐英姬","剧情,爱情",韩国,韩语,8.3,322187,38.9%,41.8%,17.3%,1.7%,0.4%,67084,2003年的大学生梓希（孙艺珍饰）一天收拾房间，无意中发现一个神秘的箱子，里面满载着母亲珠喜（孙艺珍饰）留下的情书，在阅读中她重温着母亲的初恋回忆。1968年的珠喜，是一个清纯可爱的少女，与穷学生俊河（曹承佑饰）一见钟情，由于珠喜显赫的家世，令两人的恋爱陷入俗套的门不当户不对的痛苦纠结中。2003年的梓希爱情同样坎坷，她暗恋着戏剧学会的尚民（赵寅成饰），却一直难以表白自己的爱意。
狩猎 Jagten,2012,托马斯·温特伯格,"麦斯·米科尔森,托玛斯·博·拉森,安妮卡·韦德科普,拉丝·弗格斯托姆,苏西·沃德,安妮·路易丝·哈辛,拉斯·兰特,亚历山德拉·拉帕波特",剧情,"丹麦,瑞典","丹麦语,英语,波兰语",9.1,233233,61.8%,32.0%,5.5%,0.4%,0.2%,63320,刚刚和妻子离婚的卢卡斯（麦斯·米科尔森 Mads Mikkelsen 饰）目前在一家托儿所工作，心地善良个性温和的他很快就受到了同事和孩子们的喜爱，其中，一个名叫卡拉（安妮卡·韦德科普 Annika Wedderkopp 饰）的早熟女孩对卢卡斯尤为的亲近。面对女孩幼稚 而单纯的示好，卢卡斯只能婉转的拒绝，可令他没有想到的是，这一举动将他的生活推向了风口浪尖。
玩具总动员2 Toy Story 2,1999,约翰·拉塞特,"汤姆·汉克斯,蒂姆·艾伦,琼·库萨克,凯尔希·格兰莫,唐·里克斯,吉姆·法尼,华莱士·肖恩,约翰·拉岑贝格,安妮·波茨,韦恩·奈特,约翰·莫里斯,劳里·梅特卡夫,爱丝黛儿·哈里斯,李·厄米,裘蒂·班森","喜剧,动画,奇幻,冒险",美国,英语,8.3,156810,32.9%,50.2%,16.2%,0.7%,0.1%,14661,自从上一集牛仔伍迪救回巴斯光年之后，他一直和其他玩具一起快乐的生活在小主人家。一次，小主人参加夏令营去了，伍迪因为破旧而没被带去。留在家里的伍迪恰巧被一个玩具收藏家发现了，认为他是近代最具代表性的玩具。于是将伍迪被偷了出来放在颇富盛名的文化博物馆内展览。在家里所有的玩具 都很担心伍迪，因此巴斯光年自告奋勇去寻找伍迪，但是当他们发现伍迪在展览馆时， 伍迪却似乎不再愿意回去过那平凡的生活……
侏罗纪公园 Jurassic Park,1993,史蒂文·斯皮尔伯格,"山姆·尼尔,劳拉·邓恩,杰夫·高布伦,理查德·阿滕伯勒,鲍勃·佩克,马丁·费雷罗,约瑟夫·梅泽罗,阿丽亚娜·理查兹,塞缪尔·杰克逊,黄荣亮,韦恩·奈特,杰拉尔德·R·莫伦,米盖尔·桑多瓦尔","科幻,惊悚,冒险",美国,"英语,西班牙语",8.1,237152,28.8%,51.1%,18.7%,1.1%,0.2%,30188,哈蒙德（理查德•阿滕伯勒 Richard Attenborough  饰）立志要建立一个非同寻常的公园：恐龙将是这个公园的主角。他把众多科学家收归旗下，利用琥珀里面困住的远古蚊子体内的血液，提取出恐龙的基因信息，利用这些信息培育繁殖恐龙。结果如愿以偿，他把怒布拉岛建立成了一个恐龙公园，坚信可以从中赚取大钱。然而，科学家们则忧心忡忡。
雨人 Rain Man,1988,巴瑞·莱文森,"达斯汀·霍夫曼,汤姆·克鲁斯,瓦莱丽亚·戈利诺,邦尼·亨特",剧情,美国,"英语,意大利语",8.7,298122,45.7%,44.4%,9.3%,0.4%,0.1%,41480,查理（汤姆·克鲁斯 Tom Cruise 饰）父亲去世，留下了300万美元的遗产。然而令他意外的是，遗产全部给了一个他不认识的哥哥雷蒙（达斯汀·霍夫曼 Dustin Hoffman 饰）。雷蒙的名字查理从没听过，这个事件让他气愤不已。他决定前去寻找哥哥。谁知雷蒙的住处就在一个精神病院里，原来他自幼患有自闭症，母亲去世后就被送到精神病院治疗。查理心中有了算计，他把雷蒙带出精神病院，企图骗他出让遗产。
谍影重重2 The Bourne Supremacy,2004,保罗·格林格拉斯,"马特·达蒙,弗朗卡·波滕特,布莱恩·考克斯,朱丽娅·斯蒂尔斯,卡尔·厄本,琼·艾伦,加布里埃尔·曼,马尔顿·索克斯,约翰·贝德福德·劳埃德,伊桑·桑德勒,米歇尔·莫纳汉,卡瑞尔·罗登,托马斯·阿拉纳,奥莎娜·阿金什那,汤姆·加洛普","动作,悬疑,惊悚","美国,德国","英语,俄语,德语,意大利语",8.6,249894,44.4%,44.3%,10.8%,0.5%,0.1%,24154,经过上一集的腥风血雨之后，伯恩（马特·达蒙 饰）和女朋友玛丽（弗兰卡·泼坦特 饰）隐居在印度偏僻的海边小镇，想忘记以前的生活。一天，神秘组织的杀手来到小镇，打破了伯恩二人世界的宁静，女友玛丽在逃亡途中被枪杀。
完美的世界 A Perfect World,1993,克林特·伊斯特伍德,"凯文·科斯特纳,劳拉·邓恩,克林特·伊斯特伍德,T·J·劳瑟,基斯·斯扎拉巴基克","剧情,犯罪",美国,英语,9.1,163234,62.5%,31.0%,5.8%,0.4%,0.2%,36713,单亲孩子菲利普·佩里（T·J·劳瑟 T.J. Lowther 饰）的母亲对他管教甚严，8岁的小菲利普甚至从未参加过一次鬼节讨糖果的游戏。附近州监狱的两名罪犯越狱成功，劫持了菲利普作为人质，向德州边界逃窜。途中，罪犯之一的布奇（凯文·科斯特纳 Kevin Costner 饰）干掉了鲁莽愚蠢的同伙，却对小菲利普照顾有加。与此同时，德州警探瑞德（克林特·伊斯特伍德 Clint Eastwood 饰）带着手下和州长特派的犯罪专家萨利（劳拉·邓恩 Laura Dern 饰）一同火速追捕布奇。双方在德克萨斯州境内展开了一场公路赛大竞技；而小菲利普也经历了很多从未想过过的刺激与快乐，并与布奇产生了一种近似父子的不寻常感情……
卢旺达饭店 Hotel Rwanda,2004,特瑞·乔治,"唐·钱德尔,苏菲·奥康内多,华金·菲尼克斯,尼克·诺特,哈基姆·凯-卡西姆,托尼·戈罗奇,法纳·莫科纳,大卫·奥哈拉,莫苏西·麦格诺,西莫·莫加瓦扎,卡拉·西摩,罗伯托·西特兰,德斯蒙德·杜布,蕾乐蒂·库马洛","剧情,历史,战争","英国,南非,意大利","英语,法语",8.9,194254,53.6%,38.9%,7.0%,0.3%,0.1%,32283,1994年卢旺达宣布独立后，胡图族与图西族两部族之间矛盾重重，多次发生冲突，战事持续不断。胡图族大肆屠杀图西族人，在这种背景下，卢旺达饭店经理保罗一直四面奔走，最终成功挽救了饭店里一千多名图西族和胡图族难民。
黑衣人 Men in Black,1997,巴里·索南菲尔德,"威尔·史密斯,汤米·李·琼斯,琳达·费奥伦蒂诺,文森特·多诺费奥,雷普·汤恩,托尼·夏尔赫布","喜剧,动作,科幻",美国,"英语,西班牙语",8.1,241552,27.4%,52.7%,18.8%,1.0%,0.1%,23082,地球并不只是人类的天下，其实有1500名外星人生活中我们当中，而星际移民局则处理和外星人相关的事情。
生化危机 Resident Evil,2002,保罗·安德森,"米拉·乔沃维奇,米歇尔·罗德里格兹,科林·萨蒙,埃里克·马比斯,詹姆斯·鲍弗","动作,科幻,恐怖","英国,德国,法国,美国",英语,8.1,209381,27.7%,50.1%,20.4%,1.5%,0.3%,21761,为军方研究生化武器的安布雷拉公司在浣熊市地下设有巨大的研究中心——蜂巢，由于一次意外事故导致可通过空气传播的生化武器泄露，负责蜂巢安保的电脑系统"红色女王"启动应急措施，却导致数百名工作人员罹难……四小时后，蜂巢安保人员爱丽丝（米拉·乔沃维奇 Milla Jovovich 饰）在蜂巢出口醒来，并且因为催眠气体而失忆。一支受命关闭红色女王的特种小队来到此处，与爱丽丝、自称警察的安德森，以及蜂巢工作人员帕克斯组队深入地下。一行人因任务目标与红色女王冲突而先后遭遇保卫系统和丧尸的连番袭击，而爱丽丝渐渐恢复的记忆揭示了她与同行者非同一般的联系。这场生化丧尸危机该如何解除？又或者根本是一曲绝望的前奏？
她 Her,2013,斯派克·琼斯,"华金·菲尼克斯,斯嘉丽·约翰逊,艾米·亚当斯,鲁妮·玛拉,奥利维亚·王尔德,斯派克·琼斯,琳恩·A·弗里德曼,盖布·戈麦斯,克里斯·帕拉特,梅·林德斯特罗姆,比尔·哈德尔,克里斯汀·韦格,布莱恩·约翰逊,马特·莱斯切尔,普拉莫德库马尔,史蒂夫·齐西斯,格雷茜·普瑞维特,波茜娅·道布尔戴,斯蒂芬妮·索科琳斯基,布莱恩·考克斯,里奥·巴里加亚,琼·布莱尔,塞斯·凯尔,李·克里斯蒂安,尼科·戴维,香农·爱德华兹,阿莉娅·珍妮,仁·库恩,菲奥娜·林克,卡罗尔·麦克法登,杰里米·拉布,劳拉·柯尔孔,帕梅拉·罗伊兰斯,玛丽安·萨斯塔德·奥特森,伊维特·桑德斯,卡桑德拉·斯塔尔,查克·大卫·威利斯","剧情,爱情,科幻",美国,英语,8.4,328133,38.1%,44.7%,15.3%,1.5%,0.3%,87173,《她》是讲述在不远的未来人与人工智能相爱的科幻爱情电影。主人公西奥多（杰昆·菲尼克斯 Joaquin Phoenix 饰）是一位信件撰写人，心思细腻而深邃，能写出最感人肺腑的信件。他刚结束与妻子凯瑟琳（鲁妮·玛拉 Rooney Mara 饰）的婚姻，还没走出心碎的阴影。一次偶然机会让他接触到最新的人工智能系统OS1，它的化身萨曼莎（斯嘉丽·约翰逊 Scarlett Johansson 声）拥有迷人的声线，温柔体贴而又幽默风趣。西奥多与萨曼莎很快发现他们如此的投缘，而且存在双向的需求与欲望，人机友谊最终发展成为一段不被世俗理解的奇异爱情......
无耻混蛋 Inglourious Basterds,2009,昆汀·塔伦蒂诺,"布拉德·皮特,梅拉尼·罗兰,克里斯托弗·瓦尔兹,伊莱·罗斯,迈克尔·法斯宾德,黛安·克鲁格,丹尼尔·布鲁尔,蒂尔·施威格,哥德昂·布克哈德,雅基·伊多,B·J·诺瓦克,奥玛·杜姆,奥古斯特·迪赫,德尼·梅诺谢,西尔维斯特·格罗特,蕾雅·赛杜","剧情,犯罪","德国,美国","英语,德语,法语,意大利语",8.6,339005,43.1%,43.9%,11.6%,1.1%,0.3%,63894,故事分五章进行。二战中德占法国，德军上校汉斯（克里斯托弗·瓦尔兹 Christoph Waltz 饰）号称"犹太猎人"，在一次屠犹行动中，少女苏珊娜（梅勒尼·劳伦特 Mélanie Laurent 饰）侥幸逃脱。与此同时，八名美国犹太士兵在中尉奥尔多（布拉德·皮特 饰） 的带领下潜入德占法国刺杀德国军人，其行动神出鬼没，手法残忍，对德军造成相当威胁，被称为"杂种"。三年后苏珊娜来到巴黎继承了姑母的电影院，结识了德国战斗英雄，电影《国家荣耀》的主演弗里德里克（丹尼尔·布鲁赫 Daniel Brühl 饰）。对苏珊娜一见钟情的弗里德里克说服德国宣传部长约瑟夫·戈培尔（西尔维斯特·格洛斯 Sylvester Groth 饰）在苏珊娜的影院首映《国家荣耀》，希特勒（马丁·乌特克 Martin Wuttke 饰）本人也将出席。苏珊娜决定借放映之机烧毁影院；而在...
